Use_Percentage (%),Pokemon,Teammate
92.000%,Arctovish,Bisharp
22.681%,Noivern,Lycanroc Dusk Form
36.602%,Claydol,Noctowl
36.101%,Vileplume,Silvally
15.894%,Falinks,Oranguru
25.972%,Galarian Corsola,Oranguru
33.753%,Beheeyem,Oranguru
16.949%,Crustle,Toxapex
19.348%,Decidueye,Toxapex
16.887%,Crustle,Decidueye
20.239%,Dusknoir,Miltank
3.332%,Seaking,Sharpedo
1.942%,Arctovish,Butterfree
2.713%,Druddigon,Sandslash
7.968%,Beheeyem,Sandslash
29.295%,Lycanroc Midday Form,Hippowdon
33.752%,Beheeyem,Wigglytuff
11.025%,Dunsparce,Wigglytuff
20.959%,Tentacruel,Seaking
67.046%,Flareon,Vaporeon
22.488%,Lickilicky,Tangrowth
34.761%,Scolipede,Exeggutor
50.083%,Noctowl,Claydol
6.603%,Corsola,Flygon
0.335%,Mime Jr.,Scrafty
0.014%,Gourgeist Large Size,Scrafty
0.130%,Mime Jr.,Bewear
