,Item,UsePercentage,Pokemon
531,Sitrus Berry,5.316,Galarian Moltres
532,Utility Umbrella,4.998,Galarian Moltres
533,Choice Scarf,2.321,Galarian Moltres
534,Iapapa Berry,1.593,Galarian Moltres
535,Other,3.928,Galarian Moltres
536,Sharp Beak,23.359,Talonflame
537,Power Herb,21.127,Talonflame
538,Custap Berry,13.963,Talonflame
539,Focus Sash,10.300,Talonflame
540,Expert Belt,9.486,Talonflame
541,Eject Button,8.172,Talonflame
542,Safety Goggles,8.048,Talonflame
543,Sitrus Berry,1.369,Talonflame
544,Other,4.175,Talonflame
545,Leftovers,62.330,Milotic
546,Weakness Policy,6.232,Milotic
547,Safety Goggles,6.020,Milotic
548,Wacan Berry,4.921,Milotic
549,Assault Vest,4.412,Milotic
550,Sitrus Berry,3.763,Milotic
551,Wide Lens,3.206,Milotic
552,Life Orb,3.152,Milotic
553,Adrenaline Orb,2.439,Milotic
554,Other,3.525,Milotic
555,Assault Vest,31.391,Mewtwo
556,Weakness Policy,22.477,Mewtwo
557,Choice Scarf,16.311,Mewtwo
558,Life Orb,12.620,Mewtwo
559,Mental Herb,11.433,Mewtwo
560,Expert Belt,2.386,Mewtwo
561,Other,3.382,Mewtwo
562,Focus Sash,75.959,Klinklang
563,Weakness Policy,23.889,Klinklang
564,Other,0.151,Klinklang
565,Scope Lens,71.310,Inteleon
566,Life Orb,13.966,Inteleon
567,Mystic Water,4.181,Inteleon
568,Razor Claw,3.972,Inteleon
569,Focus Sash,2.790,Inteleon
570,Other,3.781,Inteleon
571,Life Orb,64.867,Salamence
572,Lum Berry,19.394,Salamence
573,Choice Scarf,8.552,Salamence
574,Leftovers,3.089,Salamence
575,Other,4.099,Salamence
576,Life Orb,77.349,Hatterene
577,Focus Sash,11.564,Hatterene
578,Babiri Berry,3.340,Hatterene
579,Psychic Seed,2.999,Hatterene
580,Other,4.748,Hatterene
581,Focus Sash,89.407,Sneasel
582,Eviolite,4.403,Sneasel
583,Wide Lens,3.038,Sneasel
584,Other,3.153,Sneasel
585,Expert Belt,38.695,Escavalier
586,Assault Vest,29.047,Escavalier
587,Lum Berry,17.300,Escavalier
588,Life Orb,7.155,Escavalier
589,Occa Berry,6.028,Escavalier
590,Other,1.775,Escavalier
591,Sitrus Berry,49.757,Wash Rotom
592,Safety Goggles,13.721,Wash Rotom
593,Leftovers,9.529,Wash Rotom
594,Life Orb,6.762,Wash Rotom
595,Choice Specs,6.290,Wash Rotom
596,Mental Herb,5.994,Wash Rotom
597,Choice Scarf,2.732,Wash Rotom
598,Assault Vest,1.488,Wash Rotom
599,Other,3.727,Wash Rotom
600,Sitrus Berry,75.745,Politoed
601,Wiki Berry,5.612,Politoed
602,Wacan Berry,5.044,Politoed
603,Iapapa Berry,4.024,Politoed
604,Aguav Berry,3.987,Politoed
605,Custap Berry,3.824,Politoed
606,Other,1.765,Politoed
607,Life Orb,54.956,Ludicolo
